PlayerID,Name,Team,Position,MatchesPlayed,Goals,Assists,ShotsOnTarget,PassAccuracy,MinutesPlayed
1,Player_1,Team D,Goalkeeper,11,0,3,10,71.4,671
2,Player_2,Team E,Midfielder,37,6,5,44,78.1,3478
3,Player_3,Team C,Midfielder,17,2,6,59,63.1,1122
4,Player_4,Team E,Midfielder,16,13,8,43,72.3,1280
5,Player_5,Team E,Goalkeeper,35,0,0,14,61.2,2695
6,Player_6,Team B,Forward,35,16,5,8,62.8,2170
7,Player_7,Team C,Midfielder,11,4,6,29,73.9,770
8,Player_8,Team C,Forward,31,29,2,17,64.6,2573
9,Player_9,Team C,Midfielder,31,11,7,37,79.9,2418
10,Player_10,Team E,Midfielder,12,11,4,20,84.1,756
11,Player_11,Team D,Midfielder,36,1,8,46,88.0,3060
12,Player_12,Team C,Midfielder,27,13,4,70,67.0,2457
13,Player_13,Team E,Defender,21,0,0,2,65.9,1932
14,Player_14,Team B,Goalkeeper,10,0,1,9,63.7,620
15,Player_15,Team D,Forward,31,20,3,38,82.3,2108
16,Player_16,Team B,Forward,21,23,8,34,84.7,1407
17,Player_17,Team D,Defender,14,0,4,12,61.1,1288
18,Player_18,Team E,Midfielder,36,10,9,17,92.8,2340
19,Player_19,Team A,Midfielder,34,8,8,22,61.8,2142
20,Player_20,Team D,Midfielder,26,1,2,36,78.9,1872
21,Player_21,Team B,Midfielder,25,11,3,43,84.8,1525
22,Player_22,Team E,Defender,24,0,0,13,90.5,1536
23,Player_23,Team D,Forward,32,2,9,33,85.0,2752
24,Player_24,Team A,Defender,24,0,2,16,88.1,2184
25,Player_25,Team A,Midfielder,14,2,5,66,71.9,1120
26,Player_26,Team C,Midfielder,30,0,1,61,88.5,2010
27,Player_27,Team C,Midfielder,23,7,6,20,62.8,1541
28,Player_28,Team B,Midfielder,11,5,1,60,91.3,682
29,Player_29,Team D,Defender,20,0,2,11,79.2,1240
30,Player_30,Team D,Forward,28,27,1,14,88.6,2268
31,Player_31,Team C,Forward,16,28,0,34,75.8,1040
32,Player_32,Team D,Defender,15,0,2,6,82.5,915
33,Player_33,Team D,Forward,37,7,2,9,78.4,3034
34,Player_34,Team A,Forward,11,10,5,69,85.6,671
35,Player_35,Team C,Midfielder,15,8,7,53,62.9,1140
36,Player_36,Team E,Forward,27,4,8,7,62.1,2538
37,Player_37,Team C,Defender,11,0,3,12,68.6,1023
38,Player_38,Team E,Forward,27,13,5,18,65.6,2214
39,Player_39,Team A,Midfielder,24,11,4,34,90.5,2136
40,Player_40,Team B,Midfielder,36,13,7,72,67.7,2412
41,Player_41,Team D,Defender,28,0,0,17,94.2,2268
42,Player_42,Team A,Midfielder,11,2,0,66,71.8,704
43,Player_43,Team D,Forward,29,20,5,41,66.4,2088
44,Player_44,Team B,Goalkeeper,34,0,1,15,87.6,2992
45,Player_45,Team B,Defender,15,0,3,0,83.1,1350
46,Player_46,Team A,Defender,10,0,1,13,77.4,750
47,Player_47,Team B,Midfielder,33,4,4,77,79.4,2937
48,Player_48,Team E,Forward,24,4,0,19,85.2,1800
49,Player_49,Team B,Midfielder,37,2,6,53,68.0,2627
50,Player_50,Team D,Midfielder,32,10,0,72,94.9,2432
51,Player_51,Team D,Midfielder,19,13,3,16,94.1,1425
52,Player_52,Team D,Defender,28,0,0,4,82.8,1988
53,Player_53,Team D,Midfielder,26,9,0,65,67.0,1742
54,Player_54,Team E,Goalkeeper,14,0,3,4,83.8,1106
55,Player_55,Team C,Midfielder,13,13,5,47,62.5,806
56,Player_56,Team A,Defender,19,0,3,5,61.1,1425
57,Player_57,Team D,Forward,33,3,7,43,69.0,2937
58,Player_58,Team B,Midfielder,26,8,0,60,76.2,2132
59,Player_59,Team D,Defender,19,0,0,13,90.4,1653
60,Player_60,Team B,Forward,26,12,6,15,85.5,1664
61,Player_61,Team B,Forward,37,9,2,66,86.0,2923
62,Player_62,Team D,Goalkeeper,29,0,2,12,74.9,1740
63,Player_63,Team E,Defender,33,0,2,1,72.1,2937
64,Player_64,Team B,Forward,14,24,0,29,73.0,1120
65,Player_65,Team B,Midfielder,11,1,7,75,94.6,869
66,Player_66,Team D,Midfielder,15,7,2,56,61.4,975
67,Player_67,Team B,Defender,30,0,1,3,90.3,2430
68,Player_68,Team B,Midfielder,11,7,0,63,80.3,847
69,Player_69,Team D,Forward,22,6,2,76,75.4,1474
70,Player_70,Team D,Forward,20,7,1,24,85.4,1820
71,Player_71,Team A,Midfielder,20,13,1,67,77.0,1840
72,Player_72,Team E,Defender,25,0,3,18,90.6,1875
73,Player_73,Team E,Forward,20,18,0,78,91.5,1420
74,Player_74,Team B,Goalkeeper,28,0,1,10,74.8,2604
75,Player_75,Team E,Midfielder,24,12,5,61,69.7,1752
76,Player_76,Team B,Forward,34,5,2,45,80.7,3128
77,Player_77,Team A,Forward,32,0,3,7,91.9,2624
78,Player_78,Team D,Forward,32,22,0,10,67.4,1952
79,Player_79,Team D,Goalkeeper,25,0,4,4,81.8,2000
80,Player_80,Team D,Defender,20,0,2,4,82.1,1220
81,Player_81,Team E,Midfielder,31,14,9,58,85.7,2666
82,Player_82,Team A,Defender,25,0,1,14,64.6,1700
83,Player_83,Team E,Midfielder,17,14,2,53,85.1,1020
84,Player_84,Team E,Defender,13,0,1,8,91.8,910
85,Player_85,Team A,Forward,17,0,0,24,66.3,1054
86,Player_86,Team A,Midfielder,13,8,6,65,68.3,1066
87,Player_87,Team A,Forward,33,16,6,39,94.0,2805
88,Player_88,Team A,Forward,34,0,1,54,66.3,2142
89,Player_89,Team D,Midfielder,12,14,6,66,89.9,924
90,Player_90,Team C,Forward,12,22,7,21,77.2,780
91,Player_91,Team C,Forward,36,1,0,7,68.7,3384
92,Player_92,Team A,Midfielder,27,13,8,36,90.5,2187
93,Player_93,Team C,Goalkeeper,35,0,2,2,75.6,2590
94,Player_94,Team C,Forward,28,20,7,17,78.0,2268
95,Player_95,Team A,Forward,28,7,6,77,72.6,1988
96,Player_96,Team C,Defender,30,0,2,3,80.8,2310
97,Player_97,Team E,Defender,14,0,4,13,65.7,1316
98,Player_98,Team B,Midfielder,27,7,7,15,73.7,2403
99,Player_99,Team B,Midfielder,37,2,5,60,93.9,3071
100,Player_100,Team A,Defender,19,0,0,2,69.0,1691
101,Player_101,Team D,Forward,31,6,4,33,83.0,2263
102,Player_102,Team A,Goalkeeper,30,0,2,8,71.4,1950
103,Player_103,Team D,Defender,15,0,2,2,87.1,930
104,Player_104,Team B,Midfielder,10,2,0,29,64.6,750
105,Player_105,Team A,Forward,14,5,7,46,93.9,924
106,Player_106,Team E,Goalkeeper,18,0,1,8,75.9,1314
107,Player_107,Team C,Midfielder,21,5,2,44,68.3,1428
108,Player_108,Team D,Midfielder,35,2,7,29,62.6,2590
109,Player_109,Team C,Defender,23,0,2,4,65.9,1840
110,Player_110,Team C,Defender,11,0,3,10,78.2,1034
111,Player_111,Team A,Goalkeeper,26,0,3,1,71.8,1586
112,Player_112,Team C,Goalkeeper,23,0,4,14,89.0,1978
113,Player_113,Team E,Defender,35,0,4,5,75.1,2135
114,Player_114,Team C,Defender,22,0,1,7,68.7,2068
115,Player_115,Team A,Defender,36,0,1,4,81.6,2772
116,Player_116,Team E,Defender,18,0,0,15,84.7,1314
117,Player_117,Team B,Midfielder,35,6,6,22,65.8,2765
118,Player_118,Team C,Forward,34,18,4,74,65.9,2618
119,Player_119,Team A,Defender,24,0,2,4,61.3,1656
120,Player_120,Team B,Defender,34,0,4,15,85.8,2856
121,Player_121,Team B,Defender,31,0,2,12,83.2,1891
122,Player_122,Team D,Defender,24,0,3,4,76.6,2016
123,Player_123,Team E,Defender,33,0,4,12,89.5,3036
124,Player_124,Team C,Forward,20,7,1,44,88.2,1800
125,Player_125,Team A,Midfielder,25,9,1,49,80.5,1825
126,Player_126,Team D,Forward,26,19,0,66,90.4,1560
127,Player_127,Team E,Midfielder,35,14,4,62,67.2,2625
128,Player_128,Team D,Forward,13,14,3,71,63.9,806
129,Player_129,Team E,Defender,10,0,2,7,69.4,940
130,Player_130,Team E,Midfielder,17,12,9,44,62.0,1105
131,Player_131,Team C,Defender,26,0,1,12,78.6,2184
132,Player_132,Team E,Midfielder,12,0,2,37,92.8,864
133,Player_133,Team D,Defender,29,0,3,5,61.4,2697
134,Player_134,Team E,Midfielder,24,3,3,23,64.3,1608
135,Player_135,Team C,Midfielder,24,13,4,44,75.8,1920
136,Player_136,Team C,Midfielder,33,6,4,63,92.7,3069
137,Player_137,Team D,Defender,31,0,0,15,71.1,1953
138,Player_138,Team B,Midfielder,23,10,1,45,77.8,1932
139,Player_139,Team B,Goalkeeper,35,0,4,12,61.5,2590
140,Player_140,Team E,Forward,37,3,2,49,65.2,2331
141,Player_141,Team A,Midfielder,32,12,3,57,94.5,2272
142,Player_142,Team E,Goalkeeper,23,0,1,9,93.8,2093
143,Player_143,Team D,Midfielder,33,5,5,67,60.2,3003
144,Player_144,Team D,Midfielder,11,8,7,31,93.3,957
